TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionHour,TransactionDay,TransactionGap,AgeGroup,Target
14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,16.0,1.0,572.0,Lansia,1
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,16.0,1.0,495.0,Lansia,0
126.29,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,18.0,0.0,482.0,Muda,0
184.5,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,16.0,4.0,548.0,Muda,1
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,17.0,0.0,580.0,Muda,1
7.08,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,16.0,2.0,627.0,Dewasa,1
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,17.0,0.0,545.0,Lansia,0
106.23,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,16.0,1.0,593.0,ParuhBaya,2
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,16.0,4.0,583.0,ParuhBaya,0
17.78,Credit,Albuquerque,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,16.0,1.0,600.0,ParuhBaya,2
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,17.0,0.0,636.0,Muda,0
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,17.0,2.0,515.0,Muda,0
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,16.0,0.0,349.0,Muda,0
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,16.0,0.0,629.0,Muda,0
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,16.0,1.0,327.0,Dewasa,2
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,16.0,0.0,370.00000000000006,Muda,2
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,18.0,3.0,325.0,Dewasa,2
18.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.369999999999,16.0,1.0,621.0,Lansia,2
71.48,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,18.0,3.0,514.0,Muda,2
59.32,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,16.0,1.0,614.0,Lansia,0
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,18.0,4.0,450.0,Dewasa,0
52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,18.0,1.0,516.0,Dewasa,2
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,3.0,1402.5,18.0,1.0,551.0,Muda,0
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,16.0,3.0,612.0,Muda,1
7.49,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,17.0,4.0,380.0,Lansia,0
246.93,Debit,Miami,ATM,23.0,Student,158.0,5.0,673.3499999999999,16.0,0.0,566.0,Muda,0
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,16.0,2.0,585.0,Dewasa,0
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,16.0,1.0,649.0,ParuhBaya,0
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,16.0,2.0,409.99999999999994,Muda,2
28.31,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,17.0,0.0,475.0,Lansia,0
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,16.0,0.0,636.0,Muda,2
396.45,Debit,New York,ATM,49.0,Engineer,168.00000000000003,3.0,9690.15,16.0,0.0,405.0,ParuhBaya,1
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,17.0,0.0,601.0,Muda,0
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.00000000000001,1.0,14815.87,16.0,4.0,373.0,ParuhBaya,1
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,16.0,0.0,384.0,ParuhBaya,1
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,16.0,1.0,348.0,Muda,0
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,2.0,7914.879999999999,17.0,3.0,387.99999999999994,Lansia,0
335.63,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1.0,1019.39,17.0,1.0,649.0,ParuhBaya,1
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,18.0,0.0,461.0,Lansia,1
34.02,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,16.0,0.0,664.0,Dewasa,1
241.42000000000002,Credit,Charlotte,Online,57.0,Doctor,116.00000000000001,1.0,13357.02,18.0,3.0,563.0,Lansia,2
55.32,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79000000000002,16.0,2.0,571.0,Muda,1
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,16.0,2.0,466.0,Muda,0
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,17.0,2.0,396.0,Lansia,2
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,16.0,2.0,326.0,Muda,2
510.23999999999995,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,16.0,0.0,391.00000000000006,Muda,1
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,16.0,0.0,342.0,Muda,2
22.01,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,16.0,0.0,587.0,Dewasa,1
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.5399999999995,16.0,0.0,629.0,Lansia,0
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,16.0,2.0,515.0,Lansia,1
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8799999999999,16.0,3.0,423.0,Muda,1
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,17.0,2.0,585.0,Lansia,1
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,17.0,4.0,457.00000000000006,Muda,0
60.540000000000006,Credit,Columbus,Branch,57.0,Retired,52.00000000000001,1.0,3534.93,17.0,3.0,325.0,Lansia,2
292.56,Credit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,17.0,4.0,611.0,Lansia,2
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,16.0,4.0,513.0,ParuhBaya,0
